OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS
49.04,49.61,48.81,49.51,59020000,0.0,0,QQQ,2011-09-13,58.0,2960.8000000000006,2844.32
49.77,50.78,49.28,50.22,90757300,0.0,0,QQQ,2011-09-14,58.0,2960.8000000000006,2886.6600000000003
50.76,51.06,50.25,50.96,83536100,0.0,0,QQQ,2011-09-15,58.0,2960.8000000000006,2944.08
51.08,51.49,50.98,51.43,91902100,0.1,0,QQQ,2011-09-16,58.0,2960.8000000000006,2962.64
50.8,51.72,50.38,51.45,73042900,0.0,0,QQQ,2011-09-19,60.0,3062.4000000000005,3048.0
51.71,52.12,51.1,51.22,66570100,0.0,0,QQQ,2011-09-20,60.0,3062.4000000000005,3102.6
51.49,51.74,50.32,50.33,79938000,0.0,0,QQQ,2011-09-21,60.0,3062.4000000000005,3089.4
49.05,49.5,47.94,48.7,151885500,0.0,0,QQQ,2011-09-22,60.0,3062.4000000000005,2943.0
48.29,49.42,48.25,49.21,85940600,0.0,0,QQQ,2011-09-23,60.0,3062.4000000000005,2897.4
49.46,49.88,48.36,49.79,96261400,0.0,0,QQQ,2011-09-26,62.0,3161.3200000000006,3066.52
50.63,51.08,49.97,50.3,81148600,0.0,0,QQQ,2011-09-27,62.0,3161.3200000000006,3139.06
50.52,50.87,49.44,49.56,76757100,0.0,0,QQQ,2011-09-28,62.0,3161.3200000000006,3132.2400000000002
50.31,50.38,48.14,48.97,116900200,0.0,0,QQQ,2011-09-29,62.0,3161.3200000000006,3119.2200000000003
48.31,48.72,47.68,47.71,104870100,0.0,0,QQQ,2011-09-30,62.0,3161.3200000000006,2995.2200000000003
47.28,48.03,46.45,46.48,99149500,0.0,0,QQQ,2011-10-03,64.0,3255.8800000000006,3025.92
46.01,47.52,45.53,47.43,137013700,0.0,0,QQQ,2011-10-04,64.0,3255.8800000000006,2944.64
47.31,48.79,46.95,48.65,108825700,0.0,0,QQQ,2011-10-05,64.0,3255.8800000000006,3027.84
48.59,49.48,48.36,49.47,71939200,0.0,0,QQQ,2011-10-06,64.0,3255.8800000000006,3109.76
49.44,49.68,48.82,49.14,72525200,0.0,0,QQQ,2011-10-07,64.0,3255.8800000000006,3164.16
49.98,50.84,49.89,50.84,48230200,0.0,0,QQQ,2011-10-10,66.0,3355.8400000000006,3298.68
50.7,51.31,50.62,51.19,66449100,0.0,0,QQQ,2011-10-11,66.0,3355.8400000000006,3346.2000000000003
51.68,52.01,51.4,51.44,85627600,0.0,0,QQQ,2011-10-12,66.0,3355.8400000000006,3410.88
51.34,51.98,51.29,51.91,63443700,0.0,0,QQQ,2011-10-13,66.0,3355.8400000000006,3388.44
52.55,52.89,52.27,52.88,65643600,0.0,0,QQQ,2011-10-14,66.0,3355.8400000000006,3468.2999999999997
52.63,52.79,51.78,52.06,65161300,0.0,0,QQQ,2011-10-17,68.0,3461.100000000001,3578.84
51.98,52.98,51.5,52.7,91434600,0.0,0,QQQ,2011-10-18,68.0,3461.100000000001,3534.64
52.41,52.58,51.51,51.69,67639400,0.0,0,QQQ,2011-10-19,68.0,3461.100000000001,3563.8799999999997
51.68,51.73,50.7,51.43,80378300,0.0,0,QQQ,2011-10-20,68.0,3461.100000000001,3514.24
51.98,52.4,51.6,52.08,60455800,0.0,0,QQQ,2011-10-21,68.0,3461.100000000001,3534.64
52.27,53.3,52.09,53.16,61449500,0.0,0,QQQ,2011-10-24,70.0,3565.640000000001,3658.9
52.99,53.0,52.0,52.11,65299200,0.0,0,QQQ,2011-10-25,70.0,3565.640000000001,3709.3
52.4,52.51,51.09,52.05,98193800,0.0,0,QQQ,2011-10-26,70.0,3565.640000000001,3668.0
53.29,53.8,52.74,53.49,104455500,0.0,0,QQQ,2011-10-27,70.0,3565.640000000001,3730.2999999999997
53.19,53.63,53.17,53.57,42950000,0.0,0,QQQ,2011-10-28,70.0,3565.640000000001,3723.2999999999997
53.1,53.29,52.63,52.67,60520200,0.0,0,QQQ,2011-10-31,72.0,3671.8400000000006,3823.2000000000003
51.37,52.63,51.0,51.3,99933000,0.0,0,QQQ,2011-11-01,72.0,3671.8400000000006,3698.64
51.83,51.95,51.24,51.73,65003800,0.0,0,QQQ,2011-11-02,72.0,3671.8400000000006,3731.7599999999998
52.14,52.88,51.54,52.8,78994200,0.0,0,QQQ,2011-11-03,72.0,3671.8400000000006,3754.08
52.55,52.76,52.0,52.53,61527800,0.0,0,QQQ,2011-11-04,72.0,3671.8400000000006,3783.6
52.49,52.94,51.96,52.9,65559000,0.0,0,QQQ,2011-11-07,74.0,3776.8200000000006,3884.26
53.29,53.6,52.69,53.51,62906900,0.0,0,QQQ,2011-11-08,74.0,3776.8200000000006,3943.46
52.48,52.56,51.47,51.63,69539000,0.0,0,QQQ,2011-11-09,74.0,3776.8200000000006,3883.52
52.14,52.19,51.1,51.6,66052400,0.0,0,QQQ,2011-11-10,74.0,3776.8200000000006,3858.36
52.05,52.73,51.99,52.58,54471000,0.0,0,QQQ,2011-11-11,74.0,3776.8200000000006,3851.7
52.43,52.72,52.06,52.25,44617600,0.0,0,QQQ,2011-11-14,76.0,3881.6800000000007,3984.68
52.09,53.04,52.04,52.83,52203900,0.0,0,QQQ,2011-11-15,76.0,3881.6800000000007,3958.84
52.45,52.86,51.86,51.96,68342800,0.0,0,QQQ,2011-11-16,76.0,3881.6800000000007,3986.2000000000003
51.82,51.84,50.42,50.74,101706900,0.0,0,QQQ,2011-11-17,76.0,3881.6800000000007,3938.32
50.75,50.8,50.26,50.35,60417000,0.0,0,QQQ,2011-11-18,76.0,3881.6800000000007,3857.0
49.67,49.74,48.88,49.39,52283700,0.0,0,QQQ,2011-11-21,78.0,3981.020000000001,3874.26
49.26,49.7,48.96,49.55,51940100,0.0,0,QQQ,2011-11-22,78.0,3981.020000000001,3842.2799999999997
49.18,49.23,48.41,48.43,48437300,0.0,0,QQQ,2011-11-23,78.0,3981.020000000001,3836.04
48.22,48.78,48.05,48.06,25448100,0.0,0,QQQ,2011-11-25,78.0,3981.020000000001,3761.16
49.23,49.8,49.2,49.73,46710700,0.0,0,QQQ,2011-11-28,80.0,4079.480000000001,3938.3999999999996
49.7,50.08,49.28,49.42,52056700,0.0,0,QQQ,2011-11-29,80.0,4079.480000000001,3976.0
50.77,51.3,50.6,51.25,66918600,0.0,0,QQQ,2011-11-30,80.0,4079.480000000001,4061.6000000000004
51.24,51.74,51.21,51.6,45362200,0.0,0,QQQ,2011-12-01,80.0,4079.480000000001,4099.2
52.11,52.11,51.41,51.46,36938900,0.0,0,QQQ,2011-12-02,80.0,4079.480000000001,4168.8
52.23,52.37,51.73,52.02,40492200,0.0,0,QQQ,2011-12-05,82.0,4183.9400000000005,4282.86
52.07,52.21,51.7,51.88,38670000,0.0,0,QQQ,2011-12-06,82.0,4183.9400000000005,4269.74
51.73,52.11,51.21,51.88,44576200,0.0,0,QQQ,2011-12-07,82.0,4183.9400000000005,4241.86
51.54,51.94,50.9,51.0,51692600,0.0,0,QQQ,2011-12-08,82.0,4183.9400000000005,4226.28
51.13,51.98,51.11,51.82,55757900,0.0,0,QQQ,2011-12-09,82.0,4183.9400000000005,4192.66
51.28,51.81,50.8,51.24,55411700,0.0,0,QQQ,2011-12-12,84.0,4286.500000000001,4307.52
51.58,51.79,50.47,50.68,68557700,0.0,0,QQQ,2011-12-13,84.0,4286.500000000001,4332.72
50.49,50.52,49.6,49.89,63682800,0.0,0,QQQ,2011-12-14,84.0,4286.500000000001,4241.16
50.31,50.37,49.68,49.75,58732900,0.0,0,QQQ,2011-12-15,84.0,4286.500000000001,4226.04
50.02,50.69,49.92,50.01,60978900,0.16,0,QQQ,2011-12-16,84.0,4286.500000000001,4201.68
50.2,50.32,49.38,49.51,46733900,0.0,0,QQQ,2011-12-19,86.0,4386.900000000001,4317.2
50.32,51.05,50.29,50.98,81758800,0.0,0,QQQ,2011-12-20,86.0,4386.900000000001,4327.52
50.68,50.72,49.67,50.25,78552300,0.0,0,QQQ,2011-12-21,86.0,4386.900000000001,4358.48
50.36,50.71,50.29,50.68,40334100,0.0,0,QQQ,2011-12-22,86.0,4386.900000000001,4330.96
50.78,51.12,50.66,51.12,26594600,0.0,0,QQQ,2011-12-23,86.0,4386.900000000001,4367.08
